,,predicted y using no of features in heatmap,,,,,,,,
actual y test,no of variable,1,2,3,4,5,6,7,8,predicted y using all features
0.081531757,,0.048039409,0.050998474,0.048219501,0.049979123,0.050708679,0.053906082,0.05356001,0.055417882,0.055417882
0.056654814,,0.097208029,0.083635911,0.083260775,0.086571139,0.085630123,0.089746588,0.090182731,0.097088658,0.097088658
0.10583122,,0.048039409,0.050998474,0.0497165,0.051283511,0.052386743,0.052519542,0.051916484,0.050000802,0.050000802
0.152792553,,0.048039409,0.050998474,0.051311129,0.05285684,0.054263334,0.054096706,0.053449476,0.052059036,0.052059036
0.06631715,,0.053892816,0.08072818,0.08770741,0.088481631,0.091431102,0.087897537,0.087041043,0.080189349,0.080189349
0.043265181,,0.055063497,0.046937952,0.051825936,0.054757453,0.056140889,0.052025749,0.051056475,0.048435614,0.048435614
0.049718954,,0.0737944,0.061517384,0.05926835,0.057508295,0.049083127,0.048145519,0.048319087,0.050675144,0.050675144
0.067138914,,0.048039409,0.043611563,0.041512177,0.043789805,0.044360082,0.041259598,0.040376664,0.044030904,0.044030904
0.03612119,,0.075550422,0.06285794,0.065164427,0.068489126,0.068497717,0.070040034,0.069880673,0.071428382,0.071428382
0.059575056,,0.048039409,0.050998474,0.049911761,0.052322637,0.053026659,0.056985959,0.056654442,0.055415325,0.055415325
0.099214947,,0.06559963,0.054785179,0.059159465,0.062229005,0.063246259,0.067982291,0.067889429,0.074109902,0.074109902
0.334363207,,0.18091175,0.270082865,0.263607488,0.259884114,0.259864945,0.26284409,0.264999258,0.265285718,0.265285718
0.097464682,,0.149303352,0.226192157,0.220077648,0.218376434,0.218350015,0.218858882,0.2201986,0.215109927,0.215109927
0.042326693,,0.048039409,0.049084041,0.0463359,0.048987561,0.049258578,0.046586803,0.045738194,0.04827864,0.04827864
0.051062065,,0.048039409,0.056321533,0.052805168,0.054770338,0.0552709,0.056689528,0.056209046,0.055612572,0.055612572
0.054924665,,0.048039409,0.056321533,0.052512277,0.054395398,0.05488457,0.056300725,0.055826916,0.056710368,0.056710368
0.048937784,,0.074965082,0.061995516,0.059754003,0.053535286,0.047067739,0.049589581,0.050229723,0.050681317,0.050681317
0.033661149,,0.075550422,0.06285794,0.065083068,0.068363725,0.068380107,0.069921662,0.069764925,0.069321163,0.069321163
0.053929982,,0.048039409,0.056321533,0.052707538,0.054386936,0.055016914,0.05581132,0.05529282,0.053724392,0.053724392
0.090051997,,0.105988139,0.099261822,0.099379675,0.10192482,0.101586056,0.099203852,0.097439031,0.10041142,0.10041142
0.064738838,,0.048039409,0.063092091,0.065736856,0.067465091,0.069265535,0.065295714,0.062472242,0.056695618,0.056695618
0.081291231,,0.048039409,0.063045397,0.061857931,0.064263583,0.065012307,0.061015473,0.084678309,0.092228307,0.092228307
0.047479471,,0.14754733,0.128083992,0.129194877,0.132311246,0.130858431,0.129685801,0.128655366,0.131059172,0.131059172
0.034221575,,0.080233148,0.066292677,0.064084572,0.061200376,0.057071962,0.060535378,0.06108667,0.061908985,0.061908985
0.03370432,,0.051551453,0.043094171,0.0526839,0.055318368,0.057779873,0.053572519,0.052486986,0.048703431,0.048703431
0.055146228,,0.097208029,0.083635911,0.083163144,0.086483462,0.08551942,0.089012704,0.089400113,0.096332453,0.096332453
0.048706793,,0.079062467,0.066108714,0.063834884,0.058655315,0.053852572,0.056902539,0.057544465,0.056242663,0.056242663
0.101072123,,0.048039409,0.043611563,0.041935242,0.043922097,0.044719807,0.041671253,0.040797481,0.044031324,0.044031324
0.026564166,,0.048039409,0.038904858,0.036608783,0.026435421,0.029057313,0.024564089,0.024154763,0.019834354,0.019834354
