Gradation,d,Sf,DEPTH,width,n,SPEC.,uavg,g,lambda
1.4,0.000132,0.000133,2.3774,69.19,1.22E-06,2.65,0.837838963,9.81,0.035337941
1.43,0.00025,0.0001193,3.2918,110.947,9.10E-07,2.65,0.939022386,9.81,0.034940607
1.2,0.000177,0.0001446,1.3411,48.768,1.31E-06,2.65,0.672821388,9.81,0.033607664
1.34,0.000252,0.0001234,3.3223,110.642,8.62E-07,2.65,0.943212143,9.81,0.036152946
1.29,0.000242,0.0001208,3.5662,111.862,1.10E-06,2.65,0.985674962,9.81,0.034786732
1.29,0.000214,0.0001212,3.6881,111.557,1.08E-06,2.65,1.007389418,9.81,0.034555644
1.33,0.000176,0.0000996,2.5908,128.626,1.07E-06,2.65,0.874034799,9.81,0.0264999
1.66,0.00034,0.0004,0.285,1.999,5.94E-07,2.68,0.351045698,9.81,0.072574824
1.86,0.00043,0.00014,2.2555,104.826,8.02E-07,2.65,0.81177291,9.81,0.037593279
1.49,0.000293,0.000207,1.8562,110.108,8.83E-07,2.65,0.75578094,9.81,0.052772989
1.36,0.000187,0.0000978,2.6213,129.235,9.85E-07,2.65,0.877933114,9.81,0.026094031
1,0.001038,0.00041,0.378,0.78,9.34E-07,2.65,0.406983449,9.81,0.073405839
1.25,0.000202,0.0001167,3.6576,112.471,1.14E-06,2.65,1.014693919,9.81,0.032524108
1.4,0.000126,0.0001337,2.347,70.104,1.22E-06,2.65,0.851738778,9.81,0.033934395
1.45,0.0003,0.00022,1.585,108.145,8.02E-07,2.65,0.710358569,9.81,0.054213213
1.25,0.000179,0.0001445,2.0726,49.073,1.35E-06,2.65,0.819085537,9.81,0.035021382
1.23,0.00017,0.0001192,3.6271,111.862,1.12E-06,2.65,1.0155367,9.81,0.032889176
1.31,0.000197,0.0001186,3.5662,114.3,8.62E-07,2.65,0.992646804,9.81,0.033675134
1.52,0.0004,0.000147,2.7219,112.773,1.18E-06,2.65,0.911432322,9.81,0.037787582
1.31,0.00034,0.000224,2.6761,112.79,8.59E-07,2.65,0.894337721,9.81,0.058797073
1.43,0.000345,0.000227,2.2433,110.904,1.04E-06,2.65,0.843276276,9.81,0.056180021
1.3,0.00021,0.0001217,3.6881,113.995,8.41E-07,2.65,1.018376146,9.81,0.033953557
1.47,0.00029,0.000173,2.2921,101.492,8.02E-07,2.65,0.837832479,9.81,0.044317344
1.45,0.000295,0.000216,2.8743,113.613,1.15E-06,2.65,0.940403643,9.81,0.055076418
1.31,0.00035,0.000193,2.9047,113.093,1.12E-06,2.65,0.945529164,9.81,0.049194572
1.47,0.00032,0.000113,2.6243,144.789,1.03E-06,2.65,0.906956355,9.81,0.028283138
1.29,0.000185,0.0001539,2.1641,49.682,9.06E-07,2.65,0.832252955,9.81,0.03772365
1.46,0.000395,0.000233,2.8042,112.776,1.15E-06,2.65,0.938383629,9.81,0.058211998
1.16,0.000154,0.0000965,2.5603,128.321,1.13E-06,2.65,0.904476679,9.81,0.023693645
1.39,0.00037,0.000206,2.6548,112.506,1.06E-06,2.65,0.918104735,9.81,0.050900614
1.34,0.00036,0.000227,3.0663,114.345,1.18E-06,2.65,0.985229184,9.81,0.056256721
1.68,0.00031,0.000233,1.4021,106.349,8.48E-07,2.65,0.70643994,9.81,0.051356198
1.41,0.000375,0.000257,3.1394,114.729,1.20E-06,2.65,1.000892685,9.81,0.063184884
1.21,0.000168,0.0001315,2.1031,47.854,1.03E-06,2.65,0.846620584,9.81,0.030270283
1.3,0.000149,0.0001067,2.225,71.933,1.13E-06,2.65,0.873119759,9.81,0.024431788
1.2,0.00014,0.0001478,1.4326,49.073,1.31E-06,2.65,0.741534067,9.81,0.030209644
1.55,0.00032,0.000207,2.8285,113.052,8.83E-07,2.65,0.950454971,9.81,0.050847767
1.48,0.000315,0.00022,1.6734,106.43,7.59E-07,2.65,0.763171836,9.81,0.0495891
1.22,0.000173,0.0001533,2.1336,49.378,1.03E-06,2.65,0.858217356,9.81,0.034839268
1,0.001033,0.00044,0.1929,0.78,8.19E-07,2.65,0.332296527,9.81,0.060303393
3.12,0.000695,0.000103,2.6761,108.45,8.83E-07,2.65,0.939884443,9.81,0.024479305
1.74,0.00027,0.000127,3.0876,116.805,8.96E-07,2.65,0.998183493,9.81,0.030875389
1.45,0.00031,0.000207,1.1339,103.075,8.02E-07,2.65,0.663361233,9.81,0.041845944
1.43,0.00033,0.000216,2.222,110.924,9.21E-07,2.65,0.880732678,9.81,0.048542041
1.53,0.00034,0.000127,2.0757,100.973,8.02E-07,2.65,0.849817407,9.81,0.028636867
1,0.001038,0.0009,0.2682,0.78,7.80E-07,2.65,0.382406929,9.81,0.129496558
1.37,0.00032,0.000107,1.5941,137.422,8.59E-07,2.65,0.775575836,9.81,0.022246375
1.3,0.000162,0.0001214,2.4689,72.238,1.22E-06,2.65,0.948031363,9.81,0.02616286
1.44,0.000273,0.000333,1.4844,107.587,8.13E-07,2.65,0.758356293,9.81,0.067430602
1.43,0.000288,0.00026,1.5697,107.538,8.25E-07,2.65,0.778701909,9.81,0.052802681
1.33,0.000335,0.000233,2.7628,114.008,1.15E-06,2.65,1.002385255,9.81,0.050262545
1.65,0.000315,0.000253,1.3686,106.985,7.80E-07,2.65,0.739155725,9.81,0.049720286
1,0.001038,0.00104,0.214,0.78,8.08E-07,2.65,0.35944764,9.81,0.135140116
1.56,0.000173,0.0001376,2.1946,91.135,1.16E-06,2.65,0.919142304,9.81,0.028042501
1.66,0.00034,0.00042,0.352,1.999,5.94E-07,2.68,0.426319694,9.81,0.063816005
1,0.001038,0.00058,0.2393,0.78,7.70E-07,2.65,0.375009376,9.81,0.077427438
1.44,0.0003,0.00026,2.0361,110.056,8.02E-07,2.65,0.874961707,9.81,0.054250383
1,0.001038,0.00042,0.3962,0.78,6.94E-07,2.65,0.453002239,9.81,0.063616755
1.42,0.000315,0.000213,1.9294,109.786,8.02E-07,2.65,0.857575359,9.81,0.043839515
1.29,0.000116,0.0001518,1.8898,90.221,1.25E-06,2.65,0.887041432,9.81,0.028602781
1.34,0.000157,0.00015,3.6576,92.05,1.28E-06,2.65,1.161498185,9.81,0.031905007
1,0.001038,0.00042,0.3487,0.78,7.25E-07,2.65,0.441180796,9.81,0.059030503
1.41,0.00033,0.000233,1.5088,106.772,7.91E-07,2.65,0.800125235,9.81,0.043080438
1.41,0.00037,0.000187,2.222,111.676,1.06E-06,2.65,0.967462918,9.81,0.034827753
1,0.001038,0.00072,0.2963,0.78,7.70E-07,2.65,0.432665265,9.81,0.089406385
1,0.001038,0.00044,0.3755,0.78,6.94E-07,2.65,0.477974666,9.81,0.056736339
1.66,0.00034,0.00045,0.3719,1.999,5.94E-07,2.68,0.470773166,9.81,0.059241186
1,0.001038,0.00056,0.353,0.78,6.94E-07,2.65,0.472129004,9.81,0.069574456
1.37,0.00034,0.000193,2.0574,110.586,8.59E-07,2.65,0.96604986,9.81,0.033379929
1,0.001038,0.0011,0.3271,0.78,9.35E-07,2.65,0.470314105,9.81,0.12761616
1,0.001033,0.00048,0.3688,0.78,7.75E-07,2.65,0.486658045,9.81,0.058639841
1,0.001038,0.00038,0.3892,0.78,6.94E-07,2.65,0.494093736,9.81,0.047527632
1,0.000031,0.00011,2.5542,25.765,5.94E-07,2.65,1.045740912,9.81,0.020156162
1.66,0.00034,0.00048,0.3999,1.999,5.94E-07,2.68,0.500365211,9.81,0.060148787
1,0.001038,0.00049,0.3435,0.78,7.09E-07,2.65,0.485186429,9.81,0.056093686
1,0.00221,0.00075,0.2146,0.78,9.71E-07,2.65,0.418172151,9.81,0.072208648
1.84,0.000899,0.00163,0.1444,4.295,1.13E-06,2.65,0.365736426,9.81,0.138046949
1,0.001038,0.00048,0.4136,0.78,7.05E-07,2.65,0.526939816,9.81,0.056092938
1,0.00221,0.0007,0.2128,0.78,9.66E-07,2.65,0.421709321,9.81,0.065713063
1.3,0.00032,0.00372,0.032,0.2,1.23E-06,2.65,0.21875,9.81,0.195166486
1,0.001038,0.00054,0.4243,0.78,6.98E-07,2.65,0.54386108,9.81,0.060771405
1,0.00221,0.00122,0.3508,0.78,7.75E-07,2.65,0.511629097,9.81,0.128267725
1,0.001038,0.00056,0.4365,0.78,6.49E-07,2.65,0.558037419,9.81,0.061582041
1,0.001038,0.00094,0.4179,0.78,6.98E-07,2.65,0.552190133,9.81,0.101072123
1.84,0.000899,0.00163,0.1652,4.334,1.13E-06,2.65,0.402302142,9.81,0.130527316
1,0.001033,0.00116,0.3432,0.78,6.94E-07,2.65,0.522958879,9.81,0.114203295
1,0.001038,0.00068,0.3597,0.78,6.94E-07,2.65,0.534615741,9.81,0.067138914
1,0.001038,0.00095,0.3234,0.78,7.09E-07,2.65,0.515341801,9.81,0.09075725
1,0.001038,0.00076,0.4374,0.78,7.13E-07,2.65,0.58619406,9.81,0.075895843
1,0.001038,0.00138,0.3728,0.78,6.98E-07,2.65,0.550215968,9.81,0.133320538
1,0.00221,0.00071,0.2411,0.78,1.01E-06,2.65,0.478559806,9.81,0.058639677
1,0.00221,0.00089,0.2219,0.78,9.52E-07,2.65,0.462197109,9.81,0.072527266
1.84,0.000899,0.00164,0.1282,4.221,0.000001,2.65,0.380892137,9.81,0.113693676
1,0.001033,0.00099,0.4133,0.78,6.49E-07,2.65,0.589362045,9.81,0.092415479
1.84,0.000899,0.00165,0.2047,4.334,1.13E-06,2.65,0.475454642,9.81,0.117217391
1,0.00221,0.00091,0.1954,0.78,8.58E-07,2.65,0.459261738,9.81,0.066138428
1,0.001038,0.00086,0.374,0.78,7.05E-07,2.65,0.582733443,9.81,0.074308521
1,0.001038,0.00163,0.3082,0.78,7.09E-07,2.65,0.54075775,9.81,0.134779296
1,0.00221,0.00065,0.2499,0.78,9.71E-07,2.65,0.513000072,9.81,0.048423169
1,0.00221,0.00081,0.2307,0.78,1.01E-06,2.65,0.500133373,9.81,0.058609685
1,0.00262,0.00103,0.4048,0.78,1.19E-06,2.65,0.633402377,9.81,0.081531757
1,0.00262,0.00104,0.2874,0.78,1.25E-06,2.65,0.557585247,9.81,0.075423382
1.3,0.00032,0.00235,0.085,0.2,1.22E-06,2.65,0.352941176,9.81,0.125802878
1.3,0.00032,0.00207,0.074,0.2,1.27E-06,2.65,0.337837838,9.81,0.105291651
1,0.00221,0.00082,0.2106,0.78,9.52E-07,2.65,0.486996859,9.81,0.057125281
1.84,0.000899,0.00173,0.2145,4.334,0.000001,2.65,0.493679832,9.81,0.119451354
1,0.00221,0.000665,0.2463,0.78,7.13E-07,2.65,0.520498246,9.81,0.04743031
1,0.00221,0.0009,0.2417,0.78,9.71E-07,2.65,0.530404294,9.81,0.060661556
1,0.00262,0.00082,0.4023,0.78,8.13E-07,2.65,0.637338509,9.81,0.063713581
1,0.00221,0.001205,0.4017,0.78,7.56E-07,2.65,0.638290471,9.81,0.093209592
1.38,0.001,0.001003,0.1911,1.999,5.94E-07,2.68,0.471206299,9.81,0.067724825
1,0.0052,0.00128,0.0821,0.354,5.94E-07,2.25,0.344075366,9.81,0.069639303
1,0.00262,0.00101,0.4292,0.78,9.18E-07,2.65,0.67207028,9.81,0.075293963
1,0.00221,0.00102,0.3237,0.78,7.56E-07,2.65,0.594072543,9.81,0.073395994
1,0.00221,0.00094,0.2201,0.78,1.01E-06,2.65,0.52421976,9.81,0.059064913
1.3,0.00032,0.00212,0.092,0.2,1.23E-06,2.65,0.385869565,9.81,0.102766386
1.84,0.000899,0.00179,0.2646,4.334,0.000001,2.65,0.567019865,9.81,0.11557257
1,0.00221,0.00072,0.2822,0.78,7.33E-07,2.65,0.567859674,9.81,0.049432878
1.84,0.000899,0.00171,0.2723,4.334,1.13E-06,2.65,0.579056935,9.81,0.108945592
1,0.00262,0.00102,0.3853,0.78,1.19E-06,2.65,0.665458817,9.81,0.069625009
1,0.00221,0.00097,0.2012,0.78,9.52E-07,2.65,0.509749197,9.81,0.058924385
1,0.00221,0.00165,0.3578,0.78,7.80E-07,2.65,0.627026272,9.81,0.11780433
1,0.00262,0.00114,0.3487,0.78,1.25E-06,2.65,0.643389733,9.81,0.075338504
